RIN,PRIMARY_KEY,INCIDENT_DATE,LOCATION_DISTRICT,INCIDENT_REASON,REASON_FOR_FORCE,SUBJECT_ID,SUBJECT_GENDER,SUBJECT_RACE,SUBJECT_ROLE,SUBJECT_DESCRIPTION,REASON_FOR_FORCE,TYPE_OF_FORCE_USED1,TYPE_OF_FORCE_USED2,TYPE_OF_FORCE_USED3,TYPE_OF_FORCE_USED4,NUMBER_EC_CYCLES,SUBJECT_INJURY_TYPE,OFFICER_INJURY_TYPE,,OFFICER_YEARS_ON_FORCE,Y_COORDINATE,Y_COORDINATE,LOCATION_DISTRICT,LOCATION_FULL_STREET_ADDRESS_OR_INTERSECTION,LOCATION_CITY,LOCATION_STATE,LOCATION_LATITUDE,LOCATION_LONGITUDE
177339,20163530242,12/18/2016,GE,VIEWED OFFENSE,NECESSARY TO DEFEND ANOTHER,1083181: 20163530242,,,,,expired code-empty hand active aggression,CHEMICAL AGENT - O C SPRAY,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 600 REG I EVENING,9,3115061,10070631,9,222 E 6TH ST,Austin,TX,,
177340,20163530242,12/18/2016,GE,VIEWED OFFENSE,NECESSARY TO DEFEND ANOTHER,1083180: 20163530242,,,,,expired code-empty hand active aggression,CHEMICAL AGENT - O C SPRAY,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 500 REG I EVENING,5,3115061,10070631,9,222 E 6TH ST,Austin,TX,,
160443,20151360221,5/16/2015,ED,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,220794762: 20151360221,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,MINOR INJURY,MINOR INJURY,EDWARD 800 REG II PATROL,1,3129506,10107050,4,502 W LONGSPUR BLVD,Austin,TX,,
177006,20163271428,11/22/2016,HE,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,458782839: 20163271428,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-empty hand defensive resistance,CED - PRONGS-ENTER # CYCLES (use #shots field),,,,1,MINOR INJURY; COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,HENRY 300 REG III PATROL,2,3116462,10052257,3,2300 MISSION HILL DR,Austin,TX,,
145655,2014910150,4/1/2014,ED,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,172559412: 2014910150,M,Black,ARRESTED,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,OTHER,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,EDWARD 600 REG II PATROL,1,3130247,10104366,,506 BLOCK E RUNDBERG LN,Austin,TX,,
152693,20142911856,10/18/2014,BA,OTHER,NECESSARY TO EFFECT ARREST / DETENTION,305861607: 20142911856,M,Black,ARRESTED,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,CED - PRONGS-ENTER # SHOTS,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,2,MINOR INJURY,COMPLAINT OF INJURY/PAIN,CHARLIE 700 REG III PATROL,2,3126243,10081999,,1826 MC BEE ST,Austin,TX,30.298186,-97.704669
152741,20142911856,10/18/2014,BA,OTHER,"IN CUSTODY, MAINTAINING CONTROL",305861607: 20142911856,M,Black,ARRESTED,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,CHARLIE 700 REG III PATROL,1,3126243,10081999,,1826 MC BEE ST,Austin,TX,30.298186,-97.704669
156203,2015431685,2/12/2015,BA,DISPATCHED CALL,TO RESTRAIN FOR SUBJECTS SAFETY,459242904: 2015431685,M,Black,,EDP/MENTALLY UNSTABLE,EMPTY HAND ACTIVE AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,BAKER 300 REG I PATROL,2,3120149,10078594,9,1025 E 32ND ST,Austin,TX,,
156221,2015431685,2/12/2015,BA,DISPATCHED CALL,TO RESTRAIN FOR SUBJECTS SAFETY,459242904: 2015431685,M,Black,,EDP/MENTALLY UNSTABLE,EMPTY HAND ACTIVE AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,BAKER 300 REG I PATROL,5,3120149,10078594,9,1025 E 32ND ST,Austin,TX,,
166542,20152630280,9/20/2015,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,459322033: 20152630280,M,Black,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,CED - DRIVE STUN-ENTER # SHOTS,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,3,NO COMPLAINT OF INJURY/PAIN,COMPLAINT OF INJURY/PAIN,GEORGE 300 REG I PATROL,18,3115555,10070291,9,411 E 6TH ST,Austin,TX,,
166545,20152630280,9/20/2015,GE,OTHER,NECESSARY TO EFFECT ARREST / DETENTION,459322033: 20152630280,M,Black,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,MINOR INJURY,GEORGE 300 REG I PATROL,8,3115555,10070291,9,411 E 6TH ST,Austin,TX,,
149745,20142060188,7/25/2014,BA,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,167510635: 20142060188,M,White,ARRESTED,EDP/MENTALLY UNSTABLE,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,STRATEGIC INTELLIGENCE,12,3117100,10073351,,601 E 15TH ST,Austin,TX,30.274993,-97.732749
149804,20142060188,7/25/2014,BA,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,167510635: 20142060188,M,White,ARRESTED,EDP/MENTALLY UNSTABLE,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,HENRY 600 REG III PATROL,3,3117100,10073351,,601 E 15TH ST,Austin,TX,30.274993,-97.732749
158061,2015851801,3/26/2015,GE,OTHER,OTHER (DOCUMENT IN SUPPLEMENT),198705447: 2015851801,M,White,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 600 REG I PATROL,7,3119088,10068126,3,300 COMAL ST,Austin,TX,,
149279,20141870278,7/6/2014,GE,VIEWED OFFENSE,NECESSARY TO DEFEND ANOTHER,997190: 20141870278,,,VICTIM/OFFE,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,CHEMICAL AGENT - O C SPRAY,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,DAVID 400 REG IV PATROL,1,3115570,10070773,,400 E 7TH ST,Austin,TX,30.268021,-97.738991
177229,20163470147,12/12/2016,ID,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,,,,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-empty hand defensive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,IDA 300 REG I PATROL,2,3129078,10092100,4,1212 WESTHEIMER DR,Austin,TX,,
174132,20161410187,5/20/2016,GE,VIEWED OFFENSE,NECESSARY TO DEFEND ANOTHER,1065159: 20161410187,,,,,expired code-empty hand active aggression,CHEMICAL AGENT - O C SPRAY,,,,,COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 300 REG I EVENING,19,3115491,10070521,9,400 BLOCK E 6TH ST,Austin,TX,,
174199,20161410187,5/20/2016,GE,VIEWED OFFENSE,NECESSARY TO DEFEND ANOTHER,1065909: 20161410187,,,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-empty hand active aggression,CHEMICAL AGENT - O C SPRAY,,,,,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,GEORGE 300 REG I EVENING,3,3115491,10070521,9,400 BLOCK E 6TH ST,Austin,TX,,
160167,20151300214,5/10/2015,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,459273993: 20151300214,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,DWI TEAM 2 REG III HWY ENFORCEMENT,4,3116181,10070257,9,600 E 6TH ST,Austin,TX,,
161123,20151300214,5/10/2015,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,459273993: 20151300214,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG I PATROL,4,3116181,10070257,9,600 E 6TH ST,Austin,TX,,
165968,20152480235,9/5/2015,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,459316976: 20152480235,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,HENRY 200 REG III PATROL,5,3115841,10070419,9,500 E 6TH ST,Austin,TX,,
166961,20152680174,9/25/2015,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,186870077: 20152680174,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE; OTHER,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 300 REG I PATROL,3,3115491,10070521,9,400 BLOCK E 6TH ST,Austin,TX,,
171708,2016531683,2/22/2016,ID,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,258343198: 2016531683,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-verbal resistance/aggression; expired code-passive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,MINOR INJURY; COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,IDA 500 REG I PATROL,1,3125614,10094452,4,7100 N IH 35 SVRD SB,Austin,TX,,
146867,20141300271,5/10/2014,AD,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,407767922: 20141300271,M,Black,ARRESTED,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,ADAM 600 REG II PATROL,21,3127726,10122881,,12330 METRIC BLVD,Austin,TX,30.410269,-97.696122
155739,2015341439,2/3/2015,GE,OTHER,NECESSARY TO EFFECT ARREST / DETENTION,459011142: 2015341439,M,Black,,,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 400 REG I PATROL,2,3116286,10070603,9,600 E 7TH ST,Austin,TX,,
165541,20152420249,8/30/2015,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,458963237: 20152420249,M,Black,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND ACTIVE AGGRESSION,CHEMICAL AGENT - O C SPRAY,,,,,COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG I PATROL,20,3115283,10069738,9,400 E 4TH ST,Austin,TX,,
165903,20152420249,8/30/2015,GE,VIEWED OFFENSE,OTHER (DOCUMENT IN SUPPLEMENT),458963237: 20152420249,M,Black,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,OTHER,CHEMICAL AGENT - O C SPRAY,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG I PATROL,4,3115283,10069738,9,400 E 4TH ST,Austin,TX,,
177501,20163571560,12/22/2016,DA,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,458917066: 20163571560,M,Black,,,expired code-empty hand defensive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,DAVID 800 REG IV PATROL,3,3100115,10058643,5,2206 PRATHER LN,Austin,TX,,
157430,2015740267,3/15/2015,BA,TRAFFIC STOP,NECESSARY TO EFFECT ARREST / DETENTION,5024400: 2015740267,M,White,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,CHARLIE 400 REG III PATROL,1,3116919,10072352,1,600 BLOCK E 12TH ST,Austin,TX,,
158656,20151010265,4/11/2015,GE,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,459264643: 20151010265,M,White,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 500 REG I PATROL,2,3114943,10069872,9,300 E 4TH ST,Austin,TX,,
158690,20151010265,4/11/2015,GE,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,459264643: 20151010265,M,White,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 500 REG I PATROL,2,3114943,10069872,9,300 E 4TH ST,Austin,TX,,
171253,2016401597,2/9/2016,FR,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",459277637: 2016401597,M,White,,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-empty hand defensive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,NO COMPLAINT OF INJURY/PAIN,FRANK 300 REG IV PATROL,4,3110156,10041054,2,2302 E WILLIAM CANNON DR,Austin,TX,,
174304,20161610167,6/9/2016,BA,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",184943324: 20161610167,M,White,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-empty hand defensive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,MINOR INJURY,MINOR INJURY,DWI TEAM 1 REG III HWY ENFORCEMENT,9,3105341,10073634,10,400 ATLANTA ST,Austin,TX,,
174404,20161610167,6/9/2016,BA,TRAFFIC STOP,NECESSARY TO EFFECT ARREST / DETENTION,184943324: 20161610167,M,White,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-empty hand defensive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,BAKER 700 REG I PATROL,1,3105341,10073634,10,400 ATLANTA ST,Austin,TX,,
177116,20163420124,12/7/2016,DA,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,459481449: 20163420124,M,White,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-empty hand defensive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,DAVID 800 REG IV PATROL,14,3075832,10057182,8,6705 W US 290 HWY,Austin,TX,,
149387,20141870278,7/6/2014,GE,DISPATCHED CALL,NECESSARY TO DEFEND ANOTHER,997190: 20141870278,,,VICTIM/OFFE,,EMPTY HAND ACTIVE AGGRESSION,CHEMICAL AGENT - O C SPRAY,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,FRANK 700 REG IV PATROL,1,3115570,10070773,,400 E 7TH ST,Austin,TX,30.268021,-97.738991
167102,20152760252,10/3/2015,GE,VIEWED OFFENSE,NECESSARY TO DEFEND ANOTHER,1042784: 20152760252,,,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION; OTHER,CHEMICAL AGENT - O C SPRAY,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,EDWARD 500 REG II PATROL,1,3116013,10069872,9,RED RIVER ST / E 5TH ST,Austin,TX,,
150581,20142281777,8/16/2014,CH,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,302385722: 20142281777,M,Hispanic,ARRESTED,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,OTHER,CED - PRONGS-ENTER # SHOTS,,,,1,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,CHARLIE 700 REG III PATROL,2,3133035,10068474,,5903 JAIN LN,Austin,TX,30.260774,-97.683561
149446,20141951819,7/14/2014,ED,DISPATCHED CALL,TO RESTRAIN FOR SUBJECTS SAFETY,60558684: 20141951819,M,Hispanic,COMMITTED,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,OTHER,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,EDWARD 600 REG II PATROL,0,3126180,10106932,,1105 RUTLAND DR,Austin,TX,30.367606,-97.702005
156886,2015571525,2/26/2015,ED,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",165031941: 2015571525,F,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,EDWARD 300 REG II PATROL,2,3135874,10127480,7,13609 N IH 35 SVRD NB,Austin,TX,,
167802,20153000127,10/27/2015,GE,TRAFFIC STOP,"IN CUSTODY, MAINTAINING CONTROL",458936294: 20153000127,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG I PATROL,2,3113214,10071076,9,W 6TH ST / GUADALUPE ST,Austin,TX,,
168415,20153190202,11/15/2015,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,458926692: 20153190202,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 300 REG I PATROL,3,3115491,10070521,9,400 BLOCK E 6TH ST,Austin,TX,,
168462,20153190202,11/15/2015,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,458926692: 20153190202,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 300 REG I PATROL,6,3115491,10070521,9,400 BLOCK E 6TH ST,Austin,TX,,
175607,20162470229,9/3/2016,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,459445323: 20162470229,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-verbal resistance/aggression; expired code-empty hand active aggression; expired code-empty hand defensive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,MINOR INJURY; NO COMPLAINT OF INJURY/PAIN,COMPLAINT OF INJURY/PAIN,GEORGE 900 REG I NIGHTS,9,3115448,10070595,9,600 BLOCK TRINITY ST,Austin,TX,,
175627,20162470229,9/3/2016,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,459445323: 20162470229,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-verbal resistance/aggression; expired code-empty hand active aggression; expired code-empty hand defensive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 900 REG I NIGHTS,2,3115448,10070595,9,600 BLOCK TRINITY ST,Austin,TX,,
175606,20162470229,9/3/2016,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,459445323: 20162470229,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-empty hand active aggression; expired code-empty hand defensive resistance,CED - DRIVE STUN-ENTER # CYCLES (use #shots field),,,,2,MINOR INJURY; NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 900 REG I NIGHTS,22,3115448,10070595,9,600 BLOCK TRINITY ST,Austin,TX,,
169786,20153640127,12/30/2015,GE,OTHER,NECESSARY TO EFFECT ARREST / DETENTION,5024565: 20153640127,M,Black,,,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE; OTHER,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG I PATROL,12,3115314,10070574,9,316 E 6TH ST,Austin,TX,,
169868,20153640127,12/30/2015,GE,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,5024565: 20153640127,M,Black,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 400 REG I PATROL,18,3115314,10070574,9,316 E 6TH ST,Austin,TX,,
174010,20161270165,5/6/2016,GE,VIEWED OFFENSE,NECESSARY TO DEFEND ANOTHER,459402013: 20161270165,M,Black,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-other,CHEMICAL AGENT - O C SPRAY,,,,,COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 300 REG I EVENING,5,3115154,10070604,9,300 BLOCK E 6TH ST,Austin,TX,,
150163,20142141476,8/2/2014,DA,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,288758492: 20142141476,M,White,ARRESTED,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,CED - PRONGS-ENTER # SHOTS,,,,2,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,AIRPORT 200 REG II PATROL,12,3097420,10056889,,4477 S LAMAR BLVD NB,Austin,TX,30.232244,-97.799087
160696,20151460127,5/26/2015,ID,TRAFFIC STOP,NECESSARY TO EFFECT ARREST / DETENTION,269616102: 20151460127,M,White,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,,IDA 800 REG I PATROL,1,3125615,10094453,4,7100 BLOCK N IH 35 SVRD SB,Austin,TX,,
160881,20151460127,5/26/2015,ID,TRAFFIC STOP,NECESSARY TO EFFECT ARREST / DETENTION,269616102: 20151460127,M,White,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,0,NO COMPLAINT OF INJURY/PAIN,,IDA 800 REG I PATROL,0,3125615,10094453,4,7100 BLOCK N IH 35 SVRD SB,Austin,TX,,
171572,2016500201,2/19/2016,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,459374602: 2016500201,M,White,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-empty hand active aggression,CHEMICAL AGENT - O C SPRAY,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 1100 REG 1 NIGHTS,2,3115555,10070935,9,700 BLOCK TRINITY ST,Austin,TX,,
171573,2016500201,2/19/2016,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,213320593: 2016500201,M,White,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-empty hand active aggression,CHEMICAL AGENT - O C SPRAY,,,,,COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 1100 REG 1 NIGHTS,2,3115555,10070935,9,700 BLOCK TRINITY ST,Austin,TX,,
171503,2016500201,2/19/2016,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,1055942: 2016500201,,,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-empty hand active aggression,CHEMICAL AGENT - O C SPRAY,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 1100 REG 1 NIGHTS,2,3115555,10070935,9,700 BLOCK TRINITY ST,Austin,TX,,
